Id,Label,Description,Category,AssetCode,Uniclass2015,GeometryType,Markdown
http://environment.data.gov.uk/asset-management/id/drl/FileNamingAttributes,*File Naming Attributes,"Lists of the allowable values for different parts of the file names, such as Author, Type and Delivery Stage, according to the required file-naming convention.",http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,N/A,N/A,N/A,"Lists of the allowable values for different parts of the file names, such as Author, Type and Delivery Stage, according to the required file-naming convention."
http://environment.data.gov.uk/asset-management/id/drl/FileReaderFormTemplates,*File Reader Form Templates,Schema definition of column requirements in presented templated deliverable files. Used to verify the contents on delivery through an automated file reader,http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,N/A,N/A,N/A,Schema definition of column requirements in presented templated deliverable files. Used to verify the contents on delivery through an automated file reader.
http://environment.data.gov.uk/asset-management/id/drl/InformationPurposes,*Information Purposes,The purposes that the information will or may be used to support.,http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,N/A,N/A,N/A,The purposes that the information will or may be used to support. These relate to the Purpose codes that are associated with attributes within this Data Requirements Library.
http://environment.data.gov.uk/asset-management/id/drl/ReportSchemas,*Report Schemas,Schema definition of file metadata in the Employer Common Data Environment (ECDE) to meet various PowerBI reporting requirements.,http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,N/A,N/A,N/A,Schema definition of file metadata in the Employer Common Data Environment (ECDE) to meet various PowerBI reporting requirements.
http://environment.data.gov.uk/asset-management/id/drl/AmenityBuilding,Amenity Building,"A building designed and/or used primarily for the provision of amenities. Amenities are something which makes life more pleasant or comfortable for people. Examples include Toilet Blocks, Food Kiosks, Cafes, Indoor Picnic Areas.",http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds,VY,En_40_05_68,Point,"A building designed and/or used primarily for the provision of amenities. Amenities are something which makes life more pleasant or comfortable for people. Examples include Toilet Blocks, Food Kiosks, Cafes, Indoor Picnic Areas.
Includes the structural components of the building and any integral fixtures, fittings or services that cannot be removed without cutting into the walls, ceilings or floors. Does not include any assets or equipment that are housed or used in the building but separate to the building structure itself.
Buildings can have a multitude of uses so could fit into multiple asset types. Classify according to the predominant, or most important function.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-12:47:54-Amenity-Building.JPG --- ALT-TEXT: An example of an Amenity Building. --- CAPTION: An example of an Amenity Building.]]
Amenity Buildings are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Amenity_Building.png --- ALT-TEXT: Environment Agency symbology for Amenity Building. --- CAPTION: Environment Agency symbology for Amenity Building.]]
**Links to Environment Agency Smart Objects** (login required - request access [here](https://forms.office.com/Pages/ResponsePage.aspx?id=xNC-oldZc0-wwqgRQHWQ-6wdY5ziLmBArydQgXdTNQNUQzJESVc3NldVQlRTQTZMQU1TWEFDSENKNSQlQCN0PWcu))<br>[L-Shaped Amenity Building](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/1fee5ac2-0448-4bdc-ad11-51ebdd848d93/details)<br>[Rectangular Amenity Building](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/a03158b3-5e5e-4022-9cba-5a9608280425/details)<br>[Rectangular and L-Shaped Amenity Buildings](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/2007e03b-2963-4317-85da-46ad8b14034f/details)"
http://environment.data.gov.uk/asset-management/id/drl/AnimalTrap,Animal Trap,"A device designed to trap animals without injuring them, for example so they can be tagged or checked.",http://environment.data.gov.uk/asset-management/id/drl/Structure,TK,Pr_40_30_22_38,Point,"A device designed to trap animals without injuring them, for example so they can be tagged or checked."
http://environment.data.gov.uk/asset-management/id/drl/AssetManagement,Asset Management,Information required relating to asset management.,http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,J0000,PM_80,N/A,"**J0000**
Information required relating to asset management."
http://environment.data.gov.uk/asset-management/id/drl/AutomationControls,Automation Controls,"Equipment used to control multiple assets within a system such as a pumping station and a tidal control gate. This will usually require a centralised control network.<br>Where the control equipment is used to only control one asset then this will normally sit within an MCCC and can be recorded as such, e.g. a pump that has a PLC to operate various ancillaries that are recorded as the pump assembly. SCADA systems must be recorded as Automation Control Assets.",http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical,MT,Ss_75_70,Point,"Equipment used to control multiple assets within a system such as a pumping station and a tidal control gate. This will usually require a centralised control network.
Where the control equipment is used to only control one asset then this will normally sit within an MCCC and can be recorded as such, e.g. a pump that has a PLC to operate various ancillaries that are recorded as the pump assembly. SCADA systems must be recorded as Automation Control Assets.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-15:20:26-Automation-Controls.JPG --- ALT-TEXT: An example of Automation Controls. --- CAPTION: An example of Automation Controls.]]
Automation Controls are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Automation_Controls.png --- ALT-TEXT: Environment Agency symbology for Automation Controls. --- CAPTION: Environment Agency symbology for Automation Controls.]]
**Links to Environment Agency Smart Objects** (login required - request access [here](https://forms.office.com/Pages/ResponsePage.aspx?id=xNC-oldZc0-wwqgRQHWQ-6wdY5ziLmBArydQgXdTNQNUQzJESVc3NldVQlRTQTZMQU1TWEFDSENKNSQlQCN0PWcu))<br>[Automation Controls](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/bb84261e-4afe-45b3-9caa-7a7d98b01dbd/details)"
http://environment.data.gov.uk/asset-management/id/drl/BarrierBeach,Barrier Beach,"A sand or shingle bar above high tide, parallel to the coastline and usually separated from it by a lagoon. Barrier beaches that protect the land behind them from flooding and/or erosion.",http://environment.data.gov.uk/asset-management/id/drl/Defence,DA,En_32_85_06,Line,"A sand or shingle bar above high tide, parallel to the coastline and usually separated from it by a lagoon. Barrier beaches that protect the land behind them from flooding and/or erosion.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-14:07:52-Barrier-Beach.JPG --- ALT-TEXT: An example of a Barrier Beach. --- CAPTION: An example of a Barrier Beach.]]
Barrier Beaches are displayed in the Environment Agency's AIMS OM system as a polyline showing the centre line of the defence.
[[IMAGE: /asset-management/drl-app/img/icons/Barrier_Beach.png --- ALT-TEXT: Environment Agency symbology for Barrier Beach. --- CAPTION: Environment Agency symbology for Barrier Beach.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets."
http://environment.data.gov.uk/asset-management/id/drl/Beach,Beach,A pebbly or sandy shore found at the coast. Beaches that protect the land behind them from flooding and/or erosion.,http://environment.data.gov.uk/asset-management/id/drl/Defence,DB,En_32_65_06,Line,"A pebbly or sandy shore found at the coast. Beaches that protect the land behind them from flooding and/or erosion.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-14:09:29-Beach.JPG --- ALT-TEXT: An example of a Beach. --- CAPTION: An example of a Beach.]]
Beaches are displayed in the Environment Agency's AIMS OM system as a polyline showing the centre line of the defence.
[[IMAGE: /asset-management/drl-app/img/icons/Beach.png --- ALT-TEXT: Environment Agency symbology for Beach. --- CAPTION: Environment Agency symbology for Beach.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets."
