"Id";"Category";"Label";"Primary Yardstick";"Secondary Yardstick";"Primary Comment";"Secondary Comment";"Primary UoM";"Secondary UoM"
"http://environment.data.gov.uk/asset-management/id/drl/FileNamingAttributes";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"*File Naming Attributes";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/FileReaderFormTemplates";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"*File Reader Form Templates";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/InformationPurposes";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"*Information Purposes";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/ReportSchemas";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"*Report Schemas";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/AmenityBuilding";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Amenity Building";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/AnimalTrap";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Animal Trap";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/AssetManagement";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Asset Management";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/AutomationControls";"http://environment.data.gov.uk/asset-management/id/drl/MechanicalAndElectrical";"Automation Controls";"kVA";"Nr";;;"kVA";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/BarrierBeach";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Barrier Beach";"m3";"m2";;;"m3";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/Beach";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Beach";"ha";"m3";;;"ha";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/Beacon";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Beacon";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/BiodiversityAndEnvironmentalConservation";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Biodiversity and Environmental Conservation";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/BioretentionArea";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Bioretention Area";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/BoatLanding";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Boat Landing";"m2";"Not Measurable";;;"m2";"None"
"http://environment.data.gov.uk/asset-management/id/drl/Boathouse";"http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds";"Boathouse";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/Boatroller";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Boatroller";"m2";"Nr";;;"m2";"Nr"
"http://environment.data.gov.uk/asset-management/id/drl/Borehole";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Borehole";"m (Borehole depth)";"m (Borehole diameter)";"Borehole depth";"Borehole diameter";"m";"m"
"http://environment.data.gov.uk/asset-management/id/drl/Breakwater";"http://environment.data.gov.uk/asset-management/id/drl/BeachStructure";"Breakwater";"m2";"m3";;;"m2";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/Bridge";"http://environment.data.gov.uk/asset-management/id/drl/ChannelCrossings";"Bridge";"m2 (Area of the Bridge)";"m (Length of the Bridge)";"Area of the Bridge";"Length of the Bridge";"m2";"m"
"http://environment.data.gov.uk/asset-management/id/drl/BridgeAbutment";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Bridge Abutment";"m3";"m2";;;"m3";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/BufferStrip";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Buffer Strip";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/Buoy";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Buoy";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/CctvCameraSystem";"http://environment.data.gov.uk/asset-management/id/drl/Instruments";"CCTV Camera System";"Nr";;;;"Nr";
"http://environment.data.gov.uk/asset-management/id/drl/Cableway";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Cableway";"m";;;;"m";
"http://environment.data.gov.uk/asset-management/id/drl/CampingArea";"http://environment.data.gov.uk/asset-management/id/drl/Amenities";"Camping Area";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/CanoePass";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Canoe Pass";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/CanoePortagePoint";"http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation";"Canoe Portage Point";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/CarParkOrHardstanding";"http://environment.data.gov.uk/asset-management/id/drl/Amenities";"Car Park or Hardstanding";"m2";"m (Length)";;"Length";"m2";"m"
"http://environment.data.gov.uk/asset-management/id/drl/CentralPier";"http://environment.data.gov.uk/asset-management/id/drl/Structure";"Central Pier";"m3";;;;"m3";
"http://environment.data.gov.uk/asset-management/id/drl/ChannelsAndRills";"http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement";"Channels and Rills";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/Cliff";"http://environment.data.gov.uk/asset-management/id/drl/Defence";"Cliff";"m3 (earthworks)";"m2 (for stability measures)";"earthworks";"for stability measures";"m3";"m2"
"http://environment.data.gov.uk/asset-management/id/drl/CommercialFinancialProducts";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Commercial Financial Products";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/CommissioningAndPerformanceEvaluationGsl";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Commissioning and Performance Evaluation (GSL)";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/CommunicationsAndEngagement";"http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables";"Communications and Engagement";"Not Measurable";"Not Measurable";;;"None";"None"
"http://environment.data.gov.uk/asset-management/id/drl/ComplexBeachStructure";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Complex Beach Structure";"m2";;;;"m2";
"http://environment.data.gov.uk/asset-management/id/drl/ComplexCulvert";"http://environment.data.gov.uk/asset-management/id/drl/Channel";"Complex Culvert";"m (length of the channel)";"m3";"length of the channel";;"m";"m3"
"http://environment.data.gov.uk/asset-management/id/drl/ComplexDefence";"http://environment.data.gov.uk/asset-management/id/drl/AssetComplex";"Complex Defence";"m3";;;;"m3";
